symb,date,open,high,low,close,adjClose,volume,symbol,technicals_ema8,technicals_sma20,technicals_sma50,technicals_stddev20,technicals_rsi14,technicals_cci50,technicals_cci5,technicals_snapback,technicals_hasCherries,technicals_avgVolume,technicals_macd,technicals_macdSignal,technicals_macdHistogram,technicals_atr8,technicals_ema8w,technicals_sma20w,technicals_ema8m,technicals_cci50w,technicals_cci5w,scores_ema8,scores_sma20,scores_sma50,scores_ema8w,scores_sma20w,scores_ema8m,scores_snapback,scores_snapStrength,scores_snapTiming,scores_guruScoreEMA8,scores_guruScoreSMA20,scores_guruScoreSMA50,isWhatIf,
ABX,2018-01-12T15:59:55-05:00,,,,15.125,15.12,15254942,ABX,14.7849008520025,14.5965,14.2106,0.621233450484823,63.7184389087734,163.494679200926,140.967498110355,22.5271810905712,false,9176882.1,0.16548910985018,0.140022886268144,0.025466223582036,0.30768729077073,14.5671820254312,15.42829999,15.6254387838402,-83.2484552312672,109.627457034064,93.0546614258053,82.937735331956,43.099036924843,80.7381815384026,94.6698627668954,86.8411305470735,0.0892454207158,99.999971148421,99.8648623946706,9.39956992617913,9.0457794784254,7.27251223452307,true,/guru/score/history/?symbols=ABX
ADXS,2018-01-12T15:59:47-05:00,,,,2.96,2.96,610988,ADXS,2.98380781728947,3.03049999999999,3.0666,0.304465104732996,46.6156394455217,-67.3283813308659,18.1813445859709,-85.5097259168368,false,1007849.4,-0.042697101819005,-0.041711653454699,-0.000985448364306,0.195227695242899,3.14289730439907,3.98375,4.81668313491634,-116.852013935076,-44.3810020693941,98.1275714199064,92.9146033966501,84.3640935138043,52.8796879802443,1.07175902597234E-06,1.07175902597234E-06,30.8680226431236,2.94257166053506,52.4169812987937,20.7336439465768,20.3597892671948,19.715047791917,true,/guru/score/history/?symbols=ADXS
AGRX,1969-12-31T19:00:00-05:00,,,,0,3.28,259782,AGRX,3.10660440588027,3.422,4.2286,1.6467009443126,43.3416857434124,-87.0157158773889,93.8950232037124,-180.910739081101,true,1205144.1,-0.396036774419437,-0.454902310632494,0.058865536213057,0.308675219746301,3.84047601756032,,,,-33.1639828627087,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,,,98.5624174787098,40.1800159475793,96.3792545093647,0.161909699658614,0.161909699658614,0.161909699658614,true,/guru/score/history/?symbols=AGRX
AKS,2018-01-12T15:59:35-05:00,,,,6.185,6.19,22097185,AKS,6.28585346259231,5.953,5.1922,0.866627947852946,58.0531706759507,114.716766296613,-51.470588235294,166.187354531907,true,16161849.25,0.322923307010464,0.318180469753551,0.004742837256913,0.319591533105359,5.68277816631462,5.4184,5.70679969108771,-1.1186918179344,76.2235046555942,96.0644911324002,79.9860238782955,7.67147448899052E-06,12.8178349910421,0.055856506337571,17.0600937540585,98.5624174787098,98.0287845210993,99.1398799354771,97.5459592364104,91.7683714034247,0.420063167953631,true,/guru/score/history/?symbols=AKS
AMBC,2018-01-12T15:59:47-05:00,,,,16.06,16.07,713517,AMBC,15.7844347647279,15.2695,14.99320002,1.33439836630527,61.4409937989979,101.132887561492,131.424198024257,-30.2913104627652,false,428480.85,0.262317713317431,0.186148327393046,0.076169385924385,0.437608066576572,15.3395932293365,,,,90.4574116350599,95.5592177993183,62.8999733276088,32.7766056443789,69.8971566037966,,,0.25522658822259,82.3228936406567,99.8648623946706,12.6155554322804,10.9740179925165,8.83087029658935,true,/guru/score/history/?symbols=AMBC
AMPE,2018-01-12T15:52:46-05:00,,,,2.92,2.93,1020243,AMPE,2.95903921388524,2.9945,2.0772,1.00708440559866,54.5521294112755,78.8380230354279,36.5853658536585,42.2526571817694,false,3156112.15,0.253570674930914,0.349315721931427,-0.095745047000513,0.436991147584903,2.420910462074,1.4057,1.4104132666542,292.037770673536,28.3702488378453,96.9415492207058,91.9965897967825,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,1.06683582187502,17.61428957068,45.4689790809477,12.213052550936,12.0017566533428,0.02720737382112,true,/guru/score/history/?symbols=AMPE
APPN,2018-01-12T15:50:00-05:00,,,,36.78,36.759998,610465,APPN,35.1941970336099,31.10999965,25.33099984,10.6886120633133,65.0183816178738,153.858773730683,82.0656668388837,71.7931068917991,false,1094553.25,3.54762649814975,3.29848790724309,0.249138590906657,3.73069635885559,28.4449638031236,24.51619998,22.6065001692547,,93.1338783832019,72.4964602685379,5.03512070482159E-05,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,14.2057615484593,99.999971148421,91.9570576494873,46.8734657524854,0.415105123537859,0.115041317901038,true,/guru/score/history/?symbols=APPN
APRI,2018-01-12T11:09:07-05:00,,,,2.58,2.7354,1446758,APRI,2.32319126696019,2.01177,1.793508,0.536813282622533,84.7790534072874,312.809685085,156.776892817925,156.032792267075,true,569857.9,0.193942853027809,0.127639931230315,0.066302921797494,0.218329261302548,1.9349968884708,1.761054,1.6572608967538,138.403360694593,209.524463680965,2.16060242617109,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,98.5624174787098,99.999971148421,99.8648623946706,27.7180087202924,0.219416587894551,0.219416587894551,true,/guru/score/history/?symbols=APRI
APTO,2018-01-12T15:59:55-05:00,,,,2.47,2.48,416464,APTO,2.30051005223559,2.0905,1.952,0.503963292314049,67.4156752199166,162.539392637158,147.887323943662,14.6520686934956,false,716803.2,0.136277660050071,0.110832692887348,0.025444967162722,0.156364511718406,2.01716929305328,1.7088,1.67330351924476,246.595151457871,113.449037354981,29.2190144513009,5.8273130254527E-05,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,1.07175902597234E-06,0.027822681466661,99.999971148421,99.8648623946706,4.3319969335294,0.054528355733425,0.014393464335018,true,/guru/score/history/?symbols=APTO
AQMS,2018-01-12T15:59:59-05:00,,,,1.935,1.94,312254,AQMS,2.0117075788947,2.08,2.7538,0.257759577901579,37.6330779701828,-81.7112003322719,-7.68321513002395,-74.0279852022479,false,616182.7,-0.227579122129264,-0.262349025177146,0.034769903047882,0.194259046078772,2.59561375379999,,,,-84.0850135597219,80.9152307066505,34.8837255738921,1.07175902597234E-06,1.07175902597234E-06,,,16.4037009567792,24.4866577509524,82.1937461252535,31.9129690062469,24.108197386973,0.075507397436564,true,/guru/score/history/?symbols=AQMS
